itemId,embedding
458,"[0.7646403312683105, -0.7873605489730835, 0.42374715209007263, -0.27684730291366577, 0.3628976345062256, 0.3534029424190521, 0.04675929248332977, -0.38606128096580505, 0.1940942406654358, -0.29855477809906006, -0.021932559087872505, 0.6081873178482056, -0.38883504271507263, -0.559544026851654, 0.5434055924415588, 0.12076297402381897, 0.35012373328208923, -0.34136900305747986, -0.24805693328380585, -0.04262753576040268, -0.21489746868610382, -0.006849934346973896, 0.5355170965194702, -0.14840222895145416, -0.534977912902832, -0.022829392924904823, 0.07098117470741272, 0.16120709478855133, -0.05589113384485245, -0.6776620745658875, -0.07045092433691025, 0.2436639964580536, -0.034624673426151276, -0.13620348274707794, 0.022722244262695312, -0.6038620471954346, -0.13892918825149536, 0.16887623071670532, 0.07398119568824768, 0.01632855273783207, 0.08452727645635605, 0.12028218805789948, -0.3102942705154419, -0.0043678125366568565, 0.028817201033234596, -0.10551033914089203, 0.5323596000671387, 0.14639654755592346, 0.14378736913204193, -0.11697757989168167, 0.015228880569338799, 0.3217197060585022, -0.08740439265966415, 0.3476698398590088, 0.12410468608140945, 0.6136738061904907, -0.18471863865852356, 0.12265316396951675, 0.3213910162448883, 0.03025352954864502, -0.581949770450592, -0.506140947341919, 0.52741938829422, -0.25825706124305725, -0.31293803453445435, 0.372315376996994, 0.3047322928905487, 0.835811972618103, -0.049038227647542953, -0.3186885118484497, -0.19309771060943604, -0.009414133615791798, -0.01750144176185131, -0.47563210129737854, -0.27150627970695496, -0.25686997175216675, -0.4339383542537689, -0.18991318345069885, -0.058117225766181946, -0.11293218284845352, -0.23861382901668549, -0.09804999828338623, -0.3007405996322632, -0.09060046076774597, -0.26992887258529663, 0.4720713198184967, 0.028754660859704018, -0.3379717469215393, 0.4521143436431885, -0.8997066020965576, 0.2289430946111679, 0.05079720541834831, -0.6375200748443604, 0.5904115438461304, 0.5155085325241089, -0.7143519520759583, -0.24589227139949799, 5.562468868447468e-05, -0.3665112257003784, -0.44337138533592224]"
459,"[0.06484687328338623, -0.9429327249526978, -0.1228461042046547, -0.5125404596328735, 0.370856910943985, -0.12878234684467316, -0.3566417098045349, -0.07822226732969284, -0.00425934512168169, 0.34279292821884155, -0.18357384204864502, 0.30684682726860046, 0.052241548895835876, 0.4530178904533386, -0.5422380566596985, 0.2499278336763382, 0.15037591755390167, -0.024403009563684464, 0.6282415986061096, 0.2397117167711258, -0.3922038674354553, 0.18382449448108673, -0.28353145718574524, 0.44466614723205566, 0.19791142642498016, -0.46966102719306946, 0.2643526494503021, 0.5051531195640564, 0.06572280079126358, -0.18728086352348328, -0.3679657280445099, -0.2863645553588867, -0.12305391579866409, 0.23244445025920868, -0.5363918542861938, -0.3742426633834839, -0.14470963180065155, -0.2041994333267212, -0.41224703192710876, -0.10789072513580322, -0.5245398283004761, 0.16680395603179932, -0.44690316915512085, -0.3509707748889923, -0.5573575496673584, 0.3408012390136719, -0.3202838599681854, 0.07729731500148773, -0.42922109365463257, -0.21770910918712616, -0.23852656781673431, -0.3360327482223511, -0.7214148640632629, -0.6246136426925659, -0.2910401225090027, -0.25752854347229004, -0.581646740436554, 0.45380324125289917, -0.420749694108963, -0.9478154182434082, 0.41101667284965515, -0.08305281400680542, 0.31451615691185, -0.4610920548439026, -0.4495109021663666, -0.06543989479541779, 0.32249021530151367, 0.4045981168746948, 0.10382429510354996, 0.596436619758606, 0.39957544207572937, 0.33357784152030945, -0.007705867290496826, -0.4449358582496643, 0.09800253808498383, -0.06592034548521042, -0.03823379427194595, 0.1602049469947815, 0.2311248630285263, -0.31706398725509644, -0.05761798098683357, 0.08774740993976593, -0.2455744594335556, -0.24162764847278595, 0.48697584867477417, 0.0024185955990105867, -0.36547160148620605, -0.05766052007675171, -0.16632576286792755, 0.16219332814216614, 0.6987853050231934, 0.3280912935733795, -0.032424215227365494, 0.2831442952156067, -0.08459226787090302, -0.028728976845741272, 0.2540968358516693, 0.04377473145723343, 0.2177886813879013, 0.22950199246406555]"
460,"[0.2106013298034668, -0.3350315988063812, 0.019518017768859863, 0.37809839844703674, -0.25692665576934814, -0.28063300251960754, -0.24577471613883972, 0.7257524132728577, -0.11164264380931854, -0.1781436949968338, -0.30190378427505493, 0.39737460017204285, -0.18148726224899292, 0.2897765040397644, 0.2489960938692093, -0.1652662605047226, -0.10845422744750977, -0.05870227515697479, -0.18333661556243896, -0.4917345941066742, -0.8579807281494141, -0.215081587433815, -0.03411399945616722, -0.05648107826709747, -0.05393188074231148, -0.0662083625793457, 0.7081630825996399, 0.5682868361473083, 0.045667730271816254, -0.09649483114480972, 0.00858402717858553, 0.11356321722269058, 0.09016939252614975, 0.1528468281030655, -0.14170581102371216, -0.21893885731697083, 0.38239794969558716, -0.18590335547924042, -0.6486604809761047, 0.1916101574897766, 0.3323405086994171, -0.24592918157577515, -0.40009522438049316, 0.28344792127609253, 0.3442288041114807, 0.31159234046936035, 0.3783103823661804, -0.27131715416908264, -0.3596058189868927, 0.22829657793045044, -0.06234753876924515, 0.5770910382270813, -0.6760594844818115, -0.07071622461080551, -0.32952266931533813, -0.4134669303894043, 0.19484025239944458, 0.43168768286705017, 0.14761406183242798, 0.04034679755568504, -0.7595858573913574, -0.261967271566391, -0.206991508603096, -0.19273453950881958, -0.09396705776453018, 0.1686040610074997, -0.13340923190116882, 0.14892393350601196, -0.01550501212477684, 0.23759545385837555, -0.30869385600090027, -0.35680267214775085, -0.17791396379470825, 0.08680558949708939, -0.3538220524787903, -0.20560075342655182, -0.29936736822128296, 0.19090190529823303, 0.018628152087330818, -0.1284000277519226, 0.06467851251363754, -0.21232549846172333, -0.023877698928117752, -0.1613837480545044, 0.3850984573364258, 0.1300249844789505, 0.04861225187778473, 0.0821525976061821, 0.5327044129371643, -0.27364981174468994, 0.7095768451690674, -0.06033764407038689, -0.11297503113746643, -0.26522207260131836, -0.07479754090309143, -0.06719528883695602, -0.5227966904640198, -0.20097094774246216, -0.26940542459487915, -0.8329622149467468]"
461,"[-0.1871153712272644, -0.003803017782047391, -0.08710772544145584, 0.3153024911880493, -0.4526442885398865, -0.07130899280309677, -0.2693553864955902, 0.14061148464679718, -0.5357667207717896, 0.14128552377223969, -0.7329198122024536, 0.2722834646701813, -0.271305114030838, 0.2626895010471344, 0.7733556628227234, -0.24993261694908142, -0.14708025753498077, 0.10532213002443314, 0.15931978821754456, 0.8915994763374329, -0.01405327208340168, 0.06746234744787216, 0.2011546492576599, -0.21144263446331024, 0.15386229753494263, -0.23390568792819977, 0.8909626603126526, -0.47503969073295593, 0.08924441784620285, 0.8159888982772827, -0.35474225878715515, -0.26260021328926086, -0.4793286621570587, 0.008592386730015278, 0.09744129329919815, -0.2273271232843399, -0.314521461725235, -0.20281115174293518, -0.38701769709587097, 0.12354720383882523, -0.2331760674715042, -0.6863165497779846, -0.07338909804821014, -0.11162187904119492, 0.2713668644428253, -0.19959765672683716, -0.17126983404159546, 0.3325176537036896, -0.15113307535648346, 0.19184066355228424, 0.00022872444242238998, 0.23590973019599915, -0.21794691681861877, 0.32385385036468506, 0.016682343557476997, 0.11734778434038162, 0.182699054479599, 0.35693055391311646, 0.07462383061647415, 0.02801864594221115, -0.07339595258235931, 0.08034353703260422, -0.3123112916946411, -0.6126668453216553, -0.05499885603785515, -0.10132913291454315, 0.3684123456478119, 0.16147254407405853, 0.8295465111732483, -0.1981857419013977, 0.39259767532348633, -0.459756463766098, -0.3917800188064575, 0.18124701082706451, -0.20322285592556, -0.41659292578697205, -0.06286012381315231, 0.3570607602596283, -0.45901456475257874, 0.06301894783973694, 0.3231979012489319, -0.057460252195596695, -0.02822178788483143, -0.1881157010793686, -0.6720755696296692, -0.2324771285057068, -0.027128703892230988, -0.11573459208011627, -0.027307715266942978, -0.6323955655097961, -0.5286615490913391, -0.1492992788553238, -0.12163116782903671, 0.7867271304130554, 0.20182538032531738, 0.3392718732357025, -0.5607179403305054, -0.46263816952705383, -0.25967544317245483, -0.2750690281391144]"
462,"[-0.224529430270195, -0.7355085015296936, 0.06626401841640472, 0.12937387824058533, -0.4542689323425293, 0.6566665768623352, 0.22128458321094513, -0.6878048181533813, 0.14377833902835846, -0.43290969729423523, -0.10499454289674759, 0.03906380757689476, 0.3290084898471832, -0.23658226430416107, 0.12751232087612152, -0.5670624375343323, -0.3138839602470398, 0.2077759951353073, 0.3177562355995178, 0.4813811182975769, 0.29876279830932617, -0.5236112475395203, -0.13031354546546936, 0.5101299285888672, -0.13954785466194153, -0.08156287670135498, 1.2665634155273438, -0.07310979813337326, -0.19666500389575958, -0.24144849181175232, -0.21781769394874573, 0.0012548422673717141, 0.006397339049726725, -0.8436263203620911, 0.12309929728507996, -0.11378488689661026, 0.16387589275836945, 0.24739335477352142, -0.3958616256713867, 0.06333690881729126, -0.07687664777040482, -0.0039426907896995544, -0.06736735254526138, 0.40676969289779663, 0.31073713302612305, -0.18233716487884521, -0.11367619782686234, -0.3091099262237549, 0.11301425844430923, -0.2577635645866394, -0.024306099861860275, 0.41354215145111084, 0.4606846868991852, -0.18560104072093964, -0.4359404742717743, 0.321941077709198, -0.5502431988716125, 0.1813236027956009, 0.00843507144600153, 0.13811452686786652, 0.0545310452580452, -0.10104849189519882, 0.16143210232257843, 0.07691419869661331, 0.009120099246501923, -0.8048046827316284, 0.4055204391479492, -0.42478448152542114, 0.3207722306251526, 0.6041446328163147, 0.3021777868270874, 0.20123891532421112, 0.05819616839289665, -0.33754971623420715, -0.3974328935146332, -0.34984439611434937, 0.04070518538355827, -0.5681708455085754, -0.11669816821813583, 0.32200565934181213, -0.4093751907348633, -0.11398813873529434, 0.18164198100566864, 0.19122622907161713, -0.6326747536659241, 0.23318138718605042, 0.14564798772335052, -0.08932946622371674, 0.5158067941665649, -0.5710809826850891, 0.3190383017063141, -0.42302998900413513, 0.16665597259998322, 0.3648936152458191, -0.2602321207523346, -0.19489966332912445, -0.028204746544361115, -0.018278149887919426, 0.7508865594863892, 0.4089667499065399]"
463,"[-0.4112473726272583, -0.38057759404182434, 0.012870815582573414, -0.12280996888875961, 0.38504621386528015, -0.04275871068239212, -0.07163392752408981, 0.46503832936286926, -0.13122667372226715, -0.06297945976257324, 0.1822291761636734, 0.2688998579978943, -0.09982236474752426, 0.07436702400445938, 0.28100359439849854, 0.06892642378807068, 0.6082410216331482, 0.7429457306861877, 0.02238427847623825, 0.8963341116905212, 0.32894793152809143, 0.08880250155925751, -0.35697826743125916, 0.37246283888816833, -0.07204190641641617, 0.17666780948638916, -0.11692715436220169, 0.9342376589775085, 0.16147293150424957, -0.05142346769571304, 0.17348620295524597, -0.30052417516708374, -0.08106278628110886, 0.14078620076179504, 0.18791024386882782, -0.07704947888851166, -0.4888603091239929, -0.3059391975402832, 0.4906888008117676, -0.13560301065444946, 0.11066590994596481, 0.08488073199987411, -0.1306745707988739, 0.1998796910047531, -0.44298455119132996, -0.2100164294242859, -0.07988587021827698, -0.32546961307525635, -0.4014565348625183, 0.23439784348011017, -0.29616498947143555, 0.5783097743988037, -0.09935002028942108, 0.22636668384075165, -0.10715577006340027, 0.5435900688171387, 0.31236642599105835, 0.2121070921421051, -0.5881893634796143, 0.20563127100467682, -0.6424474120140076, -0.07629858702421188, 0.2699720859527588, -0.3163531720638275, 0.3903311491012573, -0.331411749124527, 0.635916531085968, 0.5721785426139832, 0.3260718286037445, -0.02989719621837139, 0.28866371512413025, -0.3179897964000702, -0.23944833874702454, -0.2762375771999359, -0.031426385045051575, -1.2785347700119019, -0.09905187785625458, -0.09239523112773895, -0.0627344399690628, -0.37038180232048035, -0.5704270601272583, 0.29316818714141846, 0.06714044511318207, -0.2853110134601593, -0.20065875351428986, -0.1830390840768814, -0.668509840965271, -0.4429704546928406, 0.32804372906684875, 0.3069063127040863, -0.019898591563105583, 0.07090455293655396, 0.5248216986656189, 0.6196869015693665, -0.4644281268119812, 0.09072531014680862, 0.5206538438796997, -0.3498501479625702, 0.04289388656616211, -0.06815076619386673]"
464,"[-0.43560564517974854, 0.1990039348602295, 0.3344017267227173, 0.17833219468593597, 0.13526426255702972, 0.7595750689506531, 0.21109770238399506, -0.14584380388259888, 0.09101162105798721, -0.4750397801399231, 0.4538993239402771, 0.3345014452934265, -0.3348812162876129, -0.10723862051963806, 0.041476842015981674, -0.05288531631231308, -0.27248916029930115, -0.3090711534023285, -0.08754152804613113, -0.058248091489076614, -0.3618928790092468, 0.8462621569633484, 0.5257530808448792, -0.20261143147945404, -0.16354520618915558, -0.8365708589553833, 0.694327175617218, 0.4159473180770874, -0.2749153971672058, -0.46103206276893616, 0.43213820457458496, -0.08191771805286407, 0.3901359438896179, 0.019211098551750183, 0.3513892590999603, -0.1395055502653122, 0.2570667862892151, 0.04183146730065346, -0.5687496662139893, 0.3082547187805176, -0.48146936297416687, -0.3546997308731079, 0.0028332965448498726, 0.39073386788368225, 0.03969602659344673, 0.2376796156167984, 0.1056569367647171, 0.68287593126297, -0.013045734725892544, -0.09634997695684433, 0.1526758223772049, 0.11443205177783966, -0.5875282883644104, 0.6993814706802368, 0.08248414844274521, -0.013904813677072525, 0.030998526141047478, -0.010119491256773472, -0.43255674839019775, -0.2604081928730011, 0.16394950449466705, 0.32989972829818726, 0.15385115146636963, -0.30925771594047546, 0.17108958959579468, -0.23476706445217133, 0.4398197531700134, -0.006481659598648548, 0.4637557864189148, 0.2177174836397171, 0.1998778134584427, 0.34457165002822876, -0.0074783493764698505, -0.3921314477920532, 0.21473845839500427, -0.6419162154197693, -0.4623873233795166, 0.46421170234680176, -0.0608086995780468, -0.30042925477027893, -0.41063180565834045, -0.08714262396097183, 0.4231955409049988, -0.20515017211437225, -1.1947684288024902, -0.17970024049282074, 0.2761998176574707, 0.34411129355430603, 0.27713409066200256, 0.04724341630935669, 0.10809042304754257, 0.20029927790164948, 0.3777173161506653, 0.4054492712020874, -0.27338260412216187, -0.23586325347423553, 0.4227522611618042, 0.23123113811016083, -0.2538886070251465, -0.3028683364391327]"
465,"[-0.28444167971611023, 0.20287708938121796, 0.40691065788269043, -0.07382402569055557, -0.38003236055374146, 0.3830943703651428, -0.08689119666814804, -0.14310956001281738, 0.07325451076030731, -0.46934083104133606, 0.17587845027446747, 1.3461894989013672, -0.04395020008087158, -0.15793044865131378, -1.0402402877807617, -0.44741880893707275, -0.09452293813228607, -0.17251430451869965, -0.13204868137836456, -0.8826716542243958, -0.5836871266365051, 0.413499116897583, 0.44007810950279236, 0.01571422815322876, -0.2527627646923065, -0.8034090995788574, 0.5876059532165527, -0.4728114604949951, 0.48256275057792664, 0.46358808875083923, -0.08713941276073456, -0.0574013851583004, 0.14667677879333496, 0.05234474688768387, -0.9123916029930115, 0.15341325104236603, 0.4328301250934601, -0.6663633584976196, 0.4877936542034149, -0.21086159348487854, 0.025471646338701248, 0.2919192910194397, 0.3047831356525421, -0.33402103185653687, 0.1152791678905487, -0.2104872316122055, -0.000382395985070616, -0.03856856748461723, -0.03563699126243591, -0.6462879776954651, 0.0091299619525671, 0.5310118198394775, -0.4771104156970978, 0.5076888799667358, 0.01904212310910225, 0.386171817779541, 0.45126843452453613, 0.20132337510585785, -0.4609566330909729, -0.22983643412590027, 0.06870574504137039, 0.09840679913759232, 0.07574485242366791, -0.5373373031616211, -0.2870982885360718, -0.03200515732169151, 0.47707557678222656, 0.31040847301483154, -0.151454895734787, 0.261593222618103, -0.3290775716304779, 0.009459428489208221, 0.5785097479820251, -0.19057872891426086, -0.08093219995498657, 0.12979324162006378, 0.3100876808166504, 0.06596222519874573, -0.5167042016983032, -0.4796423017978668, -0.14654825627803802, 0.1958000212907791, 0.15094560384750366, 0.3715737462043762, -0.005370329134166241, -0.23181475698947906, 0.3420793116092682, -0.042514245957136154, -0.10813876986503601, 0.10143430531024933, -0.13344480097293854, 0.4032922685146332, -0.014014475978910923, 0.19099821150302887, 0.17227289080619812, 0.4643559157848358, 0.21312391757965088, -0.25393158197402954, 0.3715192675590515, 0.01016684714704752]"
466,"[-0.13113798201084137, -0.2728114724159241, 0.025037722662091255, 0.05426037684082985, 0.3643111288547516, -0.21146415174007416, -0.43954166769981384, 0.10317295044660568, 0.16743013262748718, 0.16030122339725494, -0.25013983249664307, 0.6561999917030334, 0.6526288390159607, -0.19428180158138275, 0.13413764536380768, -0.709621012210846, -0.26828843355178833, 0.12842823565006256, 0.12964840233325958, 0.0684448853135109, 0.2715472877025604, 0.26920220255851746, -0.20140178501605988, -0.043110452592372894, -0.021350789815187454, -0.21507205069065094, 0.1886521279811859, 0.3915198743343353, -0.6404883861541748, 0.3572135865688324, -0.525814950466156, -0.05109774321317673, -0.27979084849357605, 0.16637273132801056, -0.1397732049226761, -0.6930660605430603, 0.4793400168418884, 0.14574281871318817, 0.3647580146789551, 0.5931006073951721, -0.6366338729858398, -0.07080651074647903, -0.4430994689464569, -0.02243124321103096, 0.02285352349281311, 0.07389619946479797, 0.07077822089195251, 0.1518874317407608, 0.19349677860736847, 0.09365928918123245, 0.15700064599514008, 0.205950066447258, -0.10820132493972778, -0.05626574158668518, 0.036368753761053085, -0.1376880556344986, -0.25895947217941284, 0.4539297819137573, 0.19273369014263153, -0.05020533874630928, -0.10839507728815079, -0.10477619618177414, 0.19948457181453705, -0.37141814827919006, 0.5800808668136597, -0.4695337116718292, 0.02920200489461422, 0.16659098863601685, 0.1448156237602234, -0.17747491598129272, -0.19556587934494019, 0.13768044114112854, -0.2522408664226532, 0.10311516374349594, -0.19037854671478271, -0.42543888092041016, -0.5179778337478638, -0.29832780361175537, -0.5271969437599182, -0.2072157859802246, -0.9461355805397034, 0.004758944269269705, 0.22643493115901947, -0.4068468511104584, -0.3827129900455475, 0.3963560461997986, -0.6045934557914734, 0.319642573595047, 0.013053067028522491, -0.12163350731134415, -0.05672796815633774, -0.9138216972351074, 0.14923910796642303, -0.10314824432134628, 0.05619506537914276, -0.03892480209469795, -0.056807976216077805, 0.21623370051383972, 0.03580528497695923, -0.5397834181785583]"
467,"[-0.06981226801872253, -0.31967952847480774, 0.03953372314572334, 0.38109007477760315, -0.37984949350357056, 0.6433331370353699, -0.18960274755954742, 0.09018456935882568, -0.13341869413852692, -0.11961398273706436, -0.027674589306116104, -0.20651531219482422, -0.44312071800231934, 0.1279754936695099, -0.09519150108098984, -0.43028706312179565, -0.34575673937797546, 0.5594961047172546, -0.22125235199928284, -0.2635791301727295, 0.1365363746881485, 0.0044031604193151, -0.2576141059398651, -0.7586220502853394, 0.2349584847688675, 0.5334404706954956, 0.05947067588567734, -0.17694592475891113, 0.5656237006187439, -0.020521467551589012, 0.5119772553443909, 0.4021618664264679, 0.12078826129436493, 0.29040348529815674, 0.11518902331590652, -0.3660598397254944, -0.24146734178066254, 0.5400956869125366, 0.28213268518447876, -0.3119598627090454, -0.26881739497184753, -0.035758115351200104, -0.2613815665245056, 0.20203882455825806, 0.8828582763671875, -0.22511418163776398, -0.3459009826183319, 0.4638673961162567, -0.3031417429447174, 0.05513611063361168, 0.44468507170677185, 0.298976868391037, -0.08094163239002228, 0.24544623494148254, -0.22037632763385773, -0.396263062953949, 0.3814219832420349, 0.09909871965646744, -0.49989476799964905, -0.04189041256904602, -0.36927130818367004, 0.05117648467421532, 0.19388693571090698, -0.18631066381931305, 0.27810612320899963, -0.0833306610584259, 0.5783156752586365, 0.4565381705760956, 0.4453328251838684, -0.16623583436012268, -0.27060389518737793, 0.41756299138069153, -0.6371983885765076, 0.040378034114837646, -0.586459755897522, -0.4031299650669098, -0.6921203136444092, -0.4967825412750244, 0.31288447976112366, -0.10558616369962692, -0.354751318693161, -0.1363840103149414, 0.23284417390823364, -0.3967575430870056, -0.5030842423439026, -0.11965224146842957, 0.03676218166947365, -0.3622215688228607, 0.7627604007720947, 0.05986173450946808, 0.5986555218696594, -0.572740912437439, -0.26579123735427856, 0.1359596997499466, -0.0014996848767623305, -0.05982738733291626, 0.11295334249734879, -0.004984310362488031, -0.03669820353388786, -0.32028478384017944]"
468,"[0.178068146109581, -0.4267820715904236, -0.19727949798107147, 0.008265229873359203, 0.4836576581001282, 0.05167428404092789, 0.12706691026687622, 0.21836958825588226, -0.6527352929115295, -0.1887931227684021, 0.1465989053249359, 0.37059149146080017, 0.08610021322965622, 0.20712751150131226, 0.34807664155960083, -0.4053763449192047, -0.059951841831207275, -0.33979737758636475, 0.6520630121231079, -0.28387588262557983, -0.2805362343788147, -0.29943278431892395, -0.04219505563378334, -0.001784961437806487, 0.82261723279953, 0.49127817153930664, -0.051383670419454575, 0.509080708026886, 0.22165165841579437, -0.05243565887212753, 0.15582676231861115, 0.17031969130039215, -0.17499923706054688, 0.07072193920612335, -0.24841386079788208, 0.10100840777158737, -0.1524657905101776, 0.07212507724761963, 0.4986201524734497, -0.5109550356864929, 0.39093485474586487, -0.14526402950286865, -0.061978746205568314, -0.3980255126953125, 0.010915621183812618, -0.18712203204631805, -0.3367103338241577, 0.4950076639652252, -0.1632072776556015, -0.10999393463134766, 0.20411840081214905, -0.1190618947148323, -0.27966901659965515, 0.31705036759376526, 0.37708792090415955, 0.2736513018608093, 0.04103964567184448, 0.41367480158805847, -0.13040968775749207, 0.015632769092917442, 0.10260439664125443, -0.5363335609436035, 0.11764512211084366, -0.4366835653781891, -0.229333758354187, 0.15590952336788177, 0.7438788414001465, 0.2548276484012604, 0.07675983756780624, 0.4841650128364563, -0.8650776743888855, -0.26481783390045166, 0.35746344923973083, -0.27838048338890076, 0.16955825686454773, 0.08367949724197388, 0.3210493326187134, 0.014060023240745068, -0.4782424569129944, -0.38111013174057007, -0.08893986791372299, -0.28598788380622864, -0.012310439720749855, -0.30897319316864014, 0.15666291117668152, -0.31912967562675476, -0.06142893433570862, -0.5841209292411804, 0.4549717903137207, -0.42990413308143616, 0.053199198096990585, 0.0569484680891037, -0.18620868027210236, 0.9207530617713928, 0.1790395826101303, 0.29093602299690247, -0.8084207773208618, 0.5725511312484741, -0.04759558290243149, -0.029842017218470573]"
469,"[0.026284819468855858, -0.02438308671116829, -0.05785397067666054, 0.08921975642442703, 0.25199824571609497, 1.2240828275680542, 0.2858790457248688, 0.0559607557952404, 0.34558892250061035, -0.29338207840919495, -0.5658034682273865, 0.0967014878988266, -0.6621371507644653, 0.13020488619804382, 0.023714205250144005, -1.0630607604980469, -0.5059100389480591, 0.07763626426458359, 0.012934773229062557, 0.10966557264328003, -0.0006538506131619215, 0.023858550935983658, 0.4191459119319916, 0.22823958098888397, 0.17550340294837952, 0.1386803835630417, 0.21529018878936768, -0.07704819738864899, 0.19358214735984802, 0.038796357810497284, 0.020188193768262863, 0.052648093551397324, 0.35371890664100647, -0.07055497914552689, -0.4608319103717804, -0.2237357199192047, -0.35197341442108154, -0.2418430596590042, -0.13538600504398346, -0.3472951352596283, 0.25966495275497437, 0.15703538060188293, 0.02638849802315235, 0.23554417490959167, 0.020079154521226883, 0.47270792722702026, 0.41095566749572754, 0.0026494236662983894, -0.8102339506149292, 0.1443639099597931, 0.09418129175901413, 0.31859642267227173, -0.6847584843635559, -0.061598241329193115, 0.5832153558731079, -0.07297186553478241, -0.29037123918533325, 0.32224908471107483, 0.10772046446800232, 0.4576762616634369, 0.032208312302827835, 0.2290661782026291, 0.6286914944648743, -0.6694473624229431, -0.1592445969581604, -0.6109998822212219, 0.7646273970603943, 0.5378679037094116, -0.21974672377109528, -0.45616331696510315, -0.39596518874168396, 0.16207124292850494, -0.07203740626573563, -0.12430271506309509, 0.14667366445064545, -0.2698063552379608, -0.3860292434692383, -0.04799482226371765, 0.006322599947452545, -0.004485166631639004, -0.5874687433242798, -0.32748180627822876, -0.07534980773925781, 0.46077799797058105, 0.207249715924263, 0.38602355122566223, 0.1677904576063156, -0.7269177436828613, 0.18921983242034912, 0.018254125490784645, -0.37675464153289795, -0.4338787794113159, 0.1448010802268982, 0.3331131935119629, -0.018695268779993057, -0.30226781964302063, -0.06548468768596649, 0.12732873857021332, -0.44701245427131653, -0.5243493318557739]"
470,"[0.0340796560049057, -0.36035117506980896, 0.06642444431781769, 0.25344154238700867, -0.043959107249975204, 1.2053823471069336, -0.3602961003780365, 0.15308117866516113, -0.00803116150200367, -0.4301474094390869, -0.1843794584274292, 0.5981305241584778, 0.00571261253207922, 0.3184124827384949, 0.5230056047439575, -0.3562828600406647, -0.8283182978630066, -0.8281751275062561, -0.5360131859779358, -0.5815027356147766, -0.014271332882344723, 0.5550781488418579, -0.2582901418209076, 0.08488117158412933, 0.07704225182533264, 0.2461780607700348, -0.2638624608516693, 0.27704423666000366, 0.5753602385520935, -0.33548206090927124, 0.39191576838493347, 0.19234660267829895, -0.270294189453125, -0.4362697899341583, 0.08007097989320755, 0.13858187198638916, -0.26181626319885254, -0.24342988431453705, -0.16288678348064423, 0.2672957181930542, 0.004641686100512743, 0.39496946334838867, -0.2255164533853531, -0.5989683270454407, -0.04950988292694092, 0.27347531914711, 0.06903377920389175, -0.06538788974285126, 0.4494766891002655, -0.70805424451828, -0.7894589900970459, -0.05587433651089668, -0.023479856550693512, 0.2451309710741043, 0.35257914662361145, -0.5111643075942993, -0.11164132505655289, 0.10663264244794846, 0.30131837725639343, 0.23834365606307983, 0.09240640699863434, -0.11388441920280457, -0.1318783462047577, -0.663004994392395, -0.9372190833091736, 0.12443313747644424, 0.5372649431228638, 0.205128014087677, -0.1609393209218979, 0.3259800970554352, -0.4952310025691986, -0.5216895341873169, 0.5884428024291992, 0.10503080487251282, 0.5063263773918152, 0.25363871455192566, -0.19308164715766907, -0.3384193778038025, -0.4345772862434387, -0.043523579835891724, 0.1395985633134842, 0.32608410716056824, 0.6070912480354309, -0.41503065824508667, -0.06433502584695816, -0.518770158290863, -0.10684891045093536, 0.07400424778461456, -0.1994774341583252, -0.23486022651195526, 0.2711602747440338, 0.058166902512311935, 0.21810904145240784, 0.37417611479759216, -0.05688532069325447, 0.4339213967323303, -0.1703694611787796, -0.1606658399105072, 0.1702960729598999, -0.40117347240448]"
